City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
77,Qasigiannguit,GL,2021-03-23 23:18:52,68.8193,-51.1922,-5.8,71,75,12.66
78,Sisimiut,GL,2021-03-23 23:18:52,66.9395,-53.6735,-4.38,91,100,8.72
79,Tefe,BR,2021-03-23 23:18:52,-3.3542,-64.7114,73.4,100,90,4.61
80,Tulum,MX,2021-03-23 23:18:53,20.2167,-87.4667,82.4,69,20,9.22
81,West Bay,KY,2021-03-23 23:18:53,19.3667,-81.4167,81.0,69,20,8.05
82,Bambous Virieux,MU,2021-03-23 23:18:53,-20.3428,57.7575,78.8,89,40,7.18
83,Havre-Saint-Pierre,CA,2021-03-23 23:16:22,50.2334,-63.5986,35.6,80,1,10.36
84,Poltavka,RU,2021-03-23 23:18:53,54.3663,71.7632,8.11,97,79,7.18
85,Port Alfred,ZA,2021-03-23 23:18:54,-33.5906,26.891,68.29,75,90,15.66
86,Banda Aceh,ID,2021-03-23 23:18:54,5.5577,95.3222,79.54,77,88,8.9
87,Cayenne,GF,2021-03-23 23:18:54,4.9333,-52.3333,80.01,89,75,4.61
88,Necochea,AR,2021-03-23 23:18:54,-38.5473,-58.7368,66.99,66,0,5.01
89,Nastola,FI,2021-03-23 23:18:54,60.95,25.9333,39.2,75,0,6.91
90,Upernavik,GL,2021-03-23 23:18:55,72.7868,-56.1549,-17.25,96,98,4.38
91,Olecko,PL,2021-03-23 23:18:55,54.0337,22.507,34.66,87,97,3.56
92,Keti Bandar,PK,2021-03-23 23:18:55,24.1447,67.4497,76.6,63,0,9.95
93,Arlit,NE,2021-03-23 23:18:55,18.7369,7.3853,79.88,11,83,10.58
94,Vila Franca Do Campo,PT,2021-03-23 23:18:56,37.7167,-25.4333,55.4,76,20,20.71
95,Gamba,GA,2021-03-23 23:18:56,-2.65,10.0,78.26,84,55,4.43
96,Lagos,NG,2021-03-23 23:14:23,6.5833,3.75,79.74,83,100,4.5
97,Kavaratti,IN,2021-03-23 23:18:56,10.5669,72.642,82.62,74,8,5.99
98,Rawson,AR,2021-03-23 23:18:57,-43.3002,-65.1023,72.32,32,88,13.89
99,Santiago Del Estero,AR,2021-03-23 23:18:57,-27.7951,-64.2615,74.77,59,54,10.74
100,Alakurtti,RU,2021-03-23 23:18:57,66.9672,30.3491,33.01,66,100,4.0
101,Lebu,CL,2021-03-23 23:18:57,-37.6167,-73.65,58.46,89,14,14.67
102,Saurimo,AO,2021-03-23 23:18:57,-9.6608,20.3916,65.8,90,45,1.43
103,Teguldet,RU,2021-03-23 23:18:58,57.3064,88.1667,18.39,98,100,4.83
104,Plouzane,FR,2021-03-23 23:18:58,48.3833,-4.6167,46.4,87,75,5.75
105,Reconquista,AR,2021-03-23 23:18:58,-29.15,-59.65,75.56,69,76,5.91
106,Manaus,BR,2021-03-23 23:18:58,-3.1019,-60.025,78.8,89,75,8.05
107,Berlevag,NO,2021-03-23 23:18:59,70.8578,29.0864,32.79,74,80,43.89
108,Izhma,RU,2021-03-23 23:18:59,65.0083,53.9113,23.05,88,100,10.38
109,Peravurani,IN,2021-03-23 23:18:59,10.3,79.1833,75.34,84,6,5.93
110,Corinto,GR,2021-03-23 23:18:59,37.9407,22.9573,44.6,76,40,9.22
111,Mhango,TZ,2021-03-23 23:18:59,-3.2833,32.85,63.88,85,38,3.06
112,Hamilton,US,2021-03-23 23:17:41,39.1834,-84.5333,69.8,30,90,6.91
113,Cartagena Del Chaira,CO,2021-03-23 23:19:00,1.3349,-74.8429,75.2,90,72,1.12
114,Isiro,CD,2021-03-23 23:19:00,2.7739,27.616,67.5,90,100,1.32
115,Anloga,GH,2021-03-23 23:19:00,5.7947,0.8973,77.0,83,20,4.61
116,Saldanha,ZA,2021-03-23 23:19:00,-33.0117,17.9442,75.2,46,38,14.97
117,Boa Vista,BR,2021-03-23 23:19:01,2.8197,-60.6733,77.0,83,75,3.44
118,Terra Santa,BR,2021-03-23 23:19:01,-2.1042,-56.4869,76.57,85,42,2.06
119,Cockburn Town,TC,2021-03-23 23:19:01,21.4612,-71.1419,78.8,73,20,8.05
120,Khorixas,NA,2021-03-23 23:19:01,-20.3667,14.9667,71.22,78,93,5.1
121,Altamira,BR,2021-03-23 23:19:02,-3.2033,-52.2064,73.65,94,98,0.96
122,Pardi,IN,2021-03-23 23:19:02,20.5167,72.95,78.96,34,1,4.88
123,Jizan,SA,2021-03-23 23:19:02,17.3333,42.6667,80.6,57,0,4.38
124,Saint George,US,2021-03-23 23:15:04,37.1041,-113.5841,60.8,17,75,25.32
125,Ouallam,NE,2021-03-23 23:19:02,14.3188,2.0866,88.34,12,96,13.2
126,Yar-Sale,RU,2021-03-23 23:19:03,66.8333,70.8333,14.22,98,99,6.96
127,Havelock,US,2021-03-23 23:15:52,34.8791,-76.9013,66.0,88,90,11.5
128,Bridgetown,BB,2021-03-23 23:14:24,13.1,-59.6167,78.8,57,20,16.11
129,Albino,IT,2021-03-23 23:19:03,45.7638,9.7964,39.99,70,0,6.91
130,Mocuba,MZ,2021-03-23 23:19:03,-16.8392,36.9856,70.09,99,57,3.44
131,Dingle,PH,2021-03-23 23:19:03,10.9995,122.6711,77.81,86,80,9.13
132,Longyearbyen,SJ,2021-03-23 23:15:14,78.2186,15.6401,24.8,63,75,12.66
133,Mehamn,NO,2021-03-23 23:19:04,71.0357,27.8492,32.38,75,99,40.69
134,Kingisepp,RU,2021-03-23 23:19:04,59.3733,28.6134,31.98,96,92,6.26
135,Uberlandia,BR,2021-03-23 23:19:04,-18.9186,-48.2772,73.63,56,97,3.27
136,Kalmunai,LK,2021-03-23 23:19:04,7.4167,81.8167,79.79,74,99,3.06
137,Vardo,NO,2021-03-23 23:19:05,70.3705,31.1107,33.8,75,20,36.82
138,Ovre Ardal,NO,2021-03-23 23:19:05,61.3167,7.8,34.3,91,98,7.09
139,Maniitsoq,GL,2021-03-23 23:19:05,65.4167,-52.9,-2.16,87,63,10.02
140,Shar,KZ,2021-03-23 23:19:05,49.5886,81.0453,25.45,72,81,22.01
